Dino Number,Image,Classification,Level,Breeding Charges,Trait Count,Background,Body,Face,Headwear,Eyes,Clothes,Accessory
5759,https://img.dapperdinos.com/dinos/dnXHceyq9ZHDGO9.png,OG,5,5,7,Crisp Green,Teal,Happy,Fedora,Happy,Varsity Jacket,Sunglasses White
5760,https://img.dapperdinos.com/dinos/5OzGMN3mle7RXEs.png,OG,5,5,7,Snazzy Orange,Teal Spotted,Happy,Chefs Hat,Allergies,Basketball Jersey,Nosehorn
5761,https://img.dapperdinos.com/dinos/IHbmeaBDTdz7saN.png,OG,5,5,7,Dapper Cyan,Grey,Happy,Horns Broken,Bliss,Crew Neck Pink,Pearls
5762,https://img.dapperdinos.com/dinos/EFXq8nUbomtR5wb.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Cap Camo,Blush,Ascot,Nosehorn
5763,https://img.dapperdinos.com/dinos/vdkRGPAbXnkIs87.png,OG,5,5,7,Snazzy Orange,Green Spotted,Two Tooth,Tophat,Hearts,Hoodie Grey,Sunglasses
5764,https://img.dapperdinos.com/dinos/9zWXVbtoMtVS8LD.png,OG,5,5,7,Spiffy Blue,Yellow,Happy,Chefs Hat,Happy,Tshirt Stripe,Nosehorn Gold
5765,https://img.dapperdinos.com/dinos/ytS1xU2IuJsXvGH.png,OG,5,5,6,Dapper Cyan,Green,Tongue,Bowler Black Emblem,Happy Lashes,Polo Teal,<none>
5766,https://img.dapperdinos.com/dinos/NJmDpLFpMt4hRH2.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Cap Camo,Happy Lashes,Hoodie Yellow,Sunglasses
5767,https://img.dapperdinos.com/dinos/9MKIq3nOWv1Oz67.png,OG,5,5,6,Spiffy Blue,Blue,Two Tooth,Tophat,Mask Dead,Tiedye,<none>
5768,https://img.dapperdinos.com/dinos/U102QBfpygmAQW8.png,OG,5,5,6,Spiffy Blue,Grey,Two Tooth,Motorcycle Helmet,Happy Lashes,Suspenders,<none>
5769,https://img.dapperdinos.com/dinos/BJC2oASVWpNovo1.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Digger Hat Bonehead,Mask Hearts,Suit Dapper Blue,<none>
5770,https://img.dapperdinos.com/dinos/99Y8QA4BGfK69yE.png,OG,5,5,5,Dapper Cyan,Charcoal Spotted,Tongue,Karate,Happy,<none>,<none>
5771,https://img.dapperdinos.com/dinos/F3NINR5tbN7mtt8.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Bowler Black Emblem,Chill Lashes,Tshirt Stripe,<none>
5772,https://img.dapperdinos.com/dinos/Pt6UDPRSzTPdy3J.png,OG,5,5,6,Dapper Cyan,Green,Happy,Brain,Happy Lashes,Pirate,<none>
5773,https://img.dapperdinos.com/dinos/x1D9Df4Z9bjT0bI.png,OG,5,5,6,Snazzy Orange,Yellow Spotted,Unimpressed,Cap Red Backwards,Happy,Rosies Denim,<none>
5774,https://img.dapperdinos.com/karmacollective/K262.png,Karma,5,6,7,Bakeroner Yellow 3,Green Spotted,Toothy Smile,Fedora,Mask Chill,Ascot,<none>
5775,https://img.dapperdinos.com/dinos/77C9liLvzc8b13o.png,OG,5,5,6,Spiffy Blue,Green,Derpy,Grey Beanie,Bliss Lashes,Varsity Jacket,<none>
5776,https://img.dapperdinos.com/dinos/TbNOOyTrKPl7npK.png,OG,5,5,6,Dapper Cyan,Grey Spotted,Happy,Horns Broken,Cyclops Lashes,Labcoat,<none>
5777,https://img.dapperdinos.com/dinos/RTre1MATQ4JMWY6.png,OG,5,5,5,Dapper Cyan,Yellow,Happy,<none>,Happy Lashes,Tshirt Stripe,<none>
5778,https://img.dapperdinos.com/dinos/GBp7aEaH33Vqnnp.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Donut Horns,Hypno,Scarf,<none>
5779,https://img.dapperdinos.com/karmacollective/K40.png,Karma,5,6,8,Rich Tu Teal,Yellow,Tongue,Donut Horns,Mask Happy,Toga,Monocle
5780,https://img.dapperdinos.com/dinos/jDCf8or0tV3A6ll.png,OG,5,5,7,Nifty Yellow,Yellow Spotted,Unimpressed,Chefs Hat Bonehead,Chill,Toga,Pipe
5781,https://img.dapperdinos.com/dinos/t3wOF1MFAJGSO7p.png,OG,5,5,6,Snazzy Orange,Charcoal,Tongue,Horns Broken,Mask Hearts,Hoodie Yellow,<none>
5782,https://img.dapperdinos.com/dinos/lxyN5KAbmWJ5zWz.png,OG,5,5,6,Spiffy Blue,Charcoal,Toothy Smile,Short Hair Blonde,Mask Chill,Scarf,<none>
5783,https://img.dapperdinos.com/dinos/ZcEi4Nb3Q9fmzuF.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Wizard Hat,Chill Lashes,Hoodie Grey,<none>
5784,https://img.dapperdinos.com/dinos/bfoI1TiBaINc3iu.png,OG,5,5,5,Spiffy Blue,Charcoal,Grin,Donut Horns,Hypno,<none>,<none>
5785,https://img.dapperdinos.com/dinos/eIMIsN8XvcSKmAi.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Egghead,Mask Chill,Robe,<none>
5786,https://img.dapperdinos.com/dinos/mXW9ZELOlvtDS7q.png,OG,5,5,7,Crisp Green,Charcoal,Happy,Fro,Chill Lashes,Pepe Jacket Tshirt,Nosehorn Gold
5787,https://img.dapperdinos.com/karmacollective/K415.png,Karma,5,6,7,Bakeroner Green 1,Grey,Grin,Cycling Cap,Mask Chill,Tshirt Camo,<none>
5788,https://img.dapperdinos.com/dinos/VwtlUn6e2AhwNmN.png,OG,5,5,7,Fly Magenta,Green,Unimpressed,Chefs Hat Bonehead,Bliss Lashes,Tracksuit Spotted,Sunglasses
5789,https://img.dapperdinos.com/dinos/dcbGFKEr2OAg7RM.png,OG,5,5,6,Dapper Cyan,Yellow,Tongue,Fro,Happy Lashes,Tracksuit Spotted,<none>
5790,https://img.dapperdinos.com/dinos/JF7x4OVPc2PlhbK.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Karate,Happy Lashes,Polo Tiger,<none>
5791,https://img.dapperdinos.com/dinos/m3Q2LzkAI4LfLJ0.png,OG,5,5,6,Spiffy Blue,Yellow,Toothy Smile,Fro,Mask Hearts,Suit Navy,<none>
5792,https://img.dapperdinos.com/dinos/o20F5eNZ8vTaDqv.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Toothy Smile,Cycling Cap,Mask Chill,Varsity Jacket,<none>
5793,https://img.dapperdinos.com/dinos/gguSVrQfPdtScv0.png,OG,5,5,7,Nifty Yellow,Green,Two Tooth,Cycling Cap,Happy Lashes,Labcoat,Monocle
5794,https://img.dapperdinos.com/dinos/7cu4AB7x9EwY7Nz.png,OG,5,5,7,Crisp Green,Green,Happy,Horns Broken,Popped Dead,Ascot,Nosehorn
5795,https://img.dapperdinos.com/dinos/OYPZoRw62uJMw92.png,OG,5,5,7,Elegant Red,Teal,Toothy Smile,Chefs Hat,Mask Happy,Spiked Jacket,Monocle
5796,https://img.dapperdinos.com/dinos/SUCBi7w9pJXiNqu.png,OG,5,5,7,Crisp Green,Blue,Unimpressed,Donut Bonehead,Cyclops Lashes,Suspenders,Pipe
5797,https://img.dapperdinos.com/dinos/8uVvHnoibGArtcb.png,OG,5,5,5,Dapper Cyan,Blue Spotted,Happy,Stars,Chill,<none>,<none>
5798,https://img.dapperdinos.com/karmacollective/K519.png,Karma,5,6,7,Bakeroner Green 3,Grey,Happy,Chefs Hat,Happy,Suit Grey,<none>
5799,https://img.dapperdinos.com/dinos/nVS92fecrMfhQAj.png,OG,5,5,6,Spiffy Blue,Green Spotted,Happy,High Top Fade,Popped Hearts,Labcoat,<none>
5800,https://img.dapperdinos.com/dinos/UJ0WDqqBSfAwUIx.png,OG,5,5,6,Dapper Cyan,Teal,Happy,Fedora,Happy Lashes,Suit Grey,<none>
5801,https://img.dapperdinos.com/dinos/CtpBNYMjyZ2Klbb.png,OG,5,5,7,Snazzy Orange,Blue,Grin,Karate,Blush,Suit Grey,Eyepatch
5802,https://img.dapperdinos.com/dinos/pOB8MfvN1gVRVcx.png,OG,5,5,6,Dapper Cyan,Green Spotted,Happy,Bucket Hat,Mask Hearts,Ascot,<none>
5803,https://img.dapperdinos.com/dinos/l49NHWx8RkKMnWW.png,OG,5,5,6,Elegant Red,Green Spotted,Two Tooth,Halo,Popped Dots,Crew Neck Pink,<none>
5804,https://img.dapperdinos.com/karmacollective/K336.png,Karma,5,6,7,Bakeroner Green 2,Grey,Happy,Motorcycle Helmet,Cyclops Lashes,Tiedye,<none>
5805,https://img.dapperdinos.com/karmacollective/K310.png,Karma,5,6,7,Bakeroner Green 1,Green,Grin,King,Mask Happy,Tiedye,<none>
5806,https://img.dapperdinos.com/dinos/c9CvkLL4g2HUiVx.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Chefs Hat Bonehead,Hearts,Tshirt Black,<none>
5807,https://img.dapperdinos.com/dinos/3lVLl96rkbT8SeQ.png,OG,5,5,7,Elegant Red,Charcoal,Unimpressed,Bonehead Silver,Mask Dead,Robe,Pipe
5808,https://img.dapperdinos.com/karmacollective/K144.png,Karma,5,6,7,Bakeroner Yellow 2,Green Spotted,Grin,Short Hair Brown,Mask Happy,Cowboy Vest,<none>
5809,https://img.dapperdinos.com/dinos/nLfnsfrVpGwjKJK.png,OG,5,5,6,Spiffy Blue,Blue,Toothy Smile,Fro,Allergies,Toga,<none>
5810,https://img.dapperdinos.com/dinos/sjQGJN7USIaZlzn.png,OG,5,5,6,Dapper Cyan,Grey Spotted,Happy,Stars,Chill,Tracksuit Spotted,<none>
5811,https://img.dapperdinos.com/dinos/dzg1acQoC8dxCL3.png,OG,5,5,6,Crisp Green,Teal,Grin,Donut Horns,Blush,Robe,<none>
5812,https://img.dapperdinos.com/dinos/eyfqhM980utqD1K.png,OG,5,5,5,Dapper Cyan,Green,Happy,Donut,Happy,<none>,<none>
5813,https://img.dapperdinos.com/dinos/BMZrr3wjDpZfjjp.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Digger Hat,Bliss,Polo Pink,<none>
5814,https://img.dapperdinos.com/dinos/pCfKW3DRL3AjdVW.png,OG,5,5,6,Dapper Cyan,Green,Tongue,British,Mask Happy,Polo Pink,<none>
5815,https://img.dapperdinos.com/dinos/b8DdpwBHahKxDDD.png,OG,5,5,6,Spiffy Blue,Green Spotted,Happy,Chefs Hat Bonehead,Mask Hearts,Polo Tiger,<none>
5816,https://img.dapperdinos.com/dinos/mpRMvzw8QEBCKCB.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Jiangshi,Cyclops,Varsity Jacket,<none>
5817,https://img.dapperdinos.com/karmacollective/K324.png,Karma,5,6,7,Bakeroner Green 1,Green,Derpy,Soldier,Mask Chill,Tshirt Camo,<none>
5818,https://img.dapperdinos.com/dinos/bHbzyOYlExGFddB.png,OG,5,5,5,Dapper Cyan,Yellow,Happy,Mummy,Hypno,<none>,<none>
5819,https://img.dapperdinos.com/dinos/tK2KBMASqu7mVmX.png,OG,5,5,7,Fly Magenta,Green,Grin,Spikes Bone,Hollow,Tshirt Camo,Sunglasses White
5820,https://img.dapperdinos.com/dinos/AXW0TuYIcECr3Zt.png,OG,5,5,5,Spiffy Blue,Green,Unimpressed,Mech,Chill,<none>,<none>
5821,https://img.dapperdinos.com/dinos/Hnk7SEAwS5twk2u.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Digger Hat Bonehead,Happy,Hoodie Grey,<none>
5822,https://img.dapperdinos.com/dinos/5ufTTeJH9TjsOc3.png,OG,5,5,7,Elegant Red,Blue Spotted,Derpy,Dino Helmet Bonehead,Chill Lashes,Hoodie Grey,Monocle
5823,https://img.dapperdinos.com/dinos/UVPVvqa4xFcLKJE.png,OG,5,5,7,Elegant Red,Teal,Derpy,King,Happy Lashes,Crew Neck Pink,Sunglasses White
5824,https://img.dapperdinos.com/dinos/onm6Q4G4eRYaN6Y.png,OG,5,5,6,Spiffy Blue,Grey,Tongue,Digger Hat Bonehead,Cyclops,Polo Teal,<none>
5825,https://img.dapperdinos.com/dinos/CXyudd5Va5Uy4u2.png,OG,5,5,6,Dapper Cyan,Blue Spotted,Tongue,Cap Camo,Chill Lashes,Suit Dapper Blue,<none>
5826,https://img.dapperdinos.com/dinos/XcPz9oT3hwKagv4.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Cap Neon,Bliss,Robe,<none>
5827,https://img.dapperdinos.com/dinos/3fznybS151U0qIH.png,OG,5,5,6,Elegant Red,Blue Spotted,Happy Beard,Captain Holo,Happy,Polo Tiger,<none>
5828,https://img.dapperdinos.com/dinos/1GrNNn4SsPwKrUy.png,OG,5,5,7,Elegant Red,Grey,Toothy Smile,Bucket Hat,Mask Happy,Qipao,Monocle
5829,https://img.dapperdinos.com/dinos/TaSf19XOlABevph.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Wizard Hat,Chill Lashes,Labcoat,<none>
5830,https://img.dapperdinos.com/dinos/KhqFVu0ZyuLYjgx.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Tongue,Halo,Chill,Labcoat,<none>
5831,https://img.dapperdinos.com/dinos/J7qMtup1Fsrj5J1.png,OG,5,5,7,Spiffy Blue,Blue,Unimpressed,Bowler Black Emblem,Happy,Tracksuit Spotted,Wheat
5832,https://img.dapperdinos.com/dinos/2JHzWOkz18hpyFr.png,OG,5,5,6,Elegant Red,Grey,Toothy Smile,<none>,Mask Hearts,Chef,Sunglasses White
5833,https://img.dapperdinos.com/dinos/3HlsFxeeLOgfWmZ.png,OG,5,5,7,Crisp Green,Blue Spotted,Unimpressed,Tophat,Happy,Hoodie Yellow,Wheat
5834,https://img.dapperdinos.com/dinos/v4VOqWj2jSqqxyv.png,OG,5,5,7,Elegant Red,Yellow Spotted,Grin,Motorcycle Helmet,Happy Lashes,Crew Neck Pink,Sunglasses
5835,https://img.dapperdinos.com/dinos/pyFzFIvrvxy9A2W.png,OG,5,5,7,Nifty Yellow,Grey,Happy,High Top Fade Halo,Mask Happy,Hoodie Grey,Nosehorn
5836,https://img.dapperdinos.com/dinos/L2HcAFoLSLqreld.png,OG,5,5,7,Elegant Red,Blue Spotted,Derpy,Halo,Happy,Chef,Sunglasses
5837,https://img.dapperdinos.com/dinos/nlTSDuEd20rcpkF.png,OG,5,5,7,Crisp Green,Blue,Happy,Cap Neon,Bliss Lashes,Polo Teal,Sunglasses
5838,https://img.dapperdinos.com/dinos/ST0IPlkiXVkoDTe.png,OG,5,5,6,Nifty Yellow,Teal Spotted,Derpy,Chefs Hat,Cyclops,Tiedye,<none>
5839,https://img.dapperdinos.com/dinos/56VZL8EEWcILsjT.png,OG,5,5,6,Spiffy Blue,Blue,Grin,King,Hypno,Pirate,<none>
5840,https://img.dapperdinos.com/dinos/uutoQ3ocCCFyHC7.png,OG,5,5,6,Spiffy Blue,Grey Spotted,Happy,Fro Sparkle,Hearts,Pepe Jacket Tshirt,<none>
5841,https://img.dapperdinos.com/dinos/etabT11AHFvai0x.png,OG,5,5,7,Nifty Yellow,Green,Tongue,British,Hearts,Polo Teal,Nosehorn
5842,https://img.dapperdinos.com/dinos/mRCZylQS5QLLbAl.png,OG,5,5,5,Dapper Cyan,Grey,Happy,High Top Fade Stars,Happy Lashes,<none>,<none>
5843,https://img.dapperdinos.com/dinos/bjKuR9KTGn0NXXJ.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Tophat,Mask Happy,Rosies Denim,<none>
5844,https://img.dapperdinos.com/dinos/p4TAJdpbd2y1kUR.png,OG,5,5,6,Crisp Green,Grey,Derpy,King,Blush,Qipao,<none>
5845,https://img.dapperdinos.com/dinos/oqciQhafBB6cvKp.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Unimpressed,Horns Broken,Chill Lashes,Suspenders,Wheat
5846,https://img.dapperdinos.com/dinos/uvg6qmFGlFIoimG.png,OG,5,5,5,Dapper Cyan,Green,Happy,Short Hair Blonde,Hypno,<none>,<none>
5847,https://img.dapperdinos.com/dinos/YJYEoqxQVnRJWny.png,OG,5,5,7,Elegant Red,Blue,Two Tooth,Grey Hair Sweep,Hollow,Cowboy Vest,Sunglasses
5848,https://img.dapperdinos.com/dinos/50S4oMLXa4QYZOc.png,OG,5,5,7,Nifty Yellow,Green,Toothy Smile,Digger Hat Bonehead,Happy Lashes,Polo Pink,Chain
5849,https://img.dapperdinos.com/dinos/DJRJUTIoYU0AJls.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Dino Helmet Bonehead,Chill Lashes,Labcoat,3D Glasses
5850,https://img.dapperdinos.com/dinos/po2BVdLcgCEGNn0.png,OG,5,5,7,Snazzy Orange,Charcoal,Derpy,Dino Helmet Bonehead,Chill Lashes,Suit Dapper Blue,Sunglasses
5851,https://img.dapperdinos.com/dinos/fCgLPgntpxbHXyl.png,OG,5,5,6,Dapper Cyan,Blue,Derpy,Donut Horns,Happy,Cowboy Vest,<none>
5852,https://img.dapperdinos.com/dinos/k48aPIDNCOVWfPO.png,OG,5,5,7,Spiffy Blue,Green,Happy,Stars,Happy Lashes,Tshirt Black,Sunglasses White
5853,https://img.dapperdinos.com/dinos/ZQ3VDGzgFDbxWgJ.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Soldier,Chill,Basketball Jersey,<none>
5854,https://img.dapperdinos.com/dinos/LeqDwKan3lJnvF6.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Chefs Hat Bonehead,Mask Happy,Suit Grey,3D Glasses
5855,https://img.dapperdinos.com/dinos/rOV7iJotARU3ZMi.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Long Hair Red,Mask Happy,Suit Grey,<none>
5856,https://img.dapperdinos.com/dinos/m8As3INqmVwp2z3.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Tongue,Dino Helmet Bonehead,Hearts,Labcoat,<none>
5857,https://img.dapperdinos.com/dinos/DDxskYXqKP2lr86.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Cap Red Backwards,Popped Dots,Labcoat,<none>
5858,https://img.dapperdinos.com/dinos/eMSBVOUAAlZk89o.png,OG,5,5,7,Crisp Green,Grey,Happy,Cap Grey,Cyclops,Pepe Jacket,Nosehorn
5859,https://img.dapperdinos.com/dinos/R01npHRJmtQwpDx.png,OG,5,5,6,Spiffy Blue,Green Spotted,Tongue,Bonehead Silver,Happy,Hoodie Yellow,<none>
5860,https://img.dapperdinos.com/dinos/8QvgJ3pUEpdgeaN.png,OG,5,5,6,Spiffy Blue,Yellow,Derpy,High Top Fade,Popped Hearts,Tshirt Stripe,<none>
5861,https://img.dapperdinos.com/dinos/yifmENqYtPLo5z7.png,OG,5,5,6,Nifty Yellow,Teal,Unimpressed,Cap Red Backwards,Happy Lashes,Tshirt Stripe,<none>
5862,https://img.dapperdinos.com/dinos/OJDL85cMfwby2JP.png,OG,5,5,6,Crisp Green,Yellow,Happy,British,Mask Dead,Tshirt Stripe,<none>
5863,https://img.dapperdinos.com/dinos/BaQFVsIINOXa9iU.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,High Top Fade,Bliss Lashes,Rosies Denim,<none>
5864,https://img.dapperdinos.com/dinos/K8SiYVQlw7gtG8v.png,OG,5,5,6,Nifty Yellow,Blue Spotted,Toothy Smile,Chefs Hat,Allergies,Crew Neck Pink,<none>
5865,https://img.dapperdinos.com/dinos/JBFmuGJpPuifIqa.png,OG,5,5,6,Spiffy Blue,Green Spotted,Happy,Bucket Hat,Popped Hearts,Polo Teal,<none>
5866,https://img.dapperdinos.com/dinos/9KXfooqkQxMEDCm.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Tophat,Blush,Ascot,<none>
5867,https://img.dapperdinos.com/dinos/gEczBDcd657Xyf3.png,OG,5,5,6,Spiffy Blue,Grey,Happy,Soldier,Mask Chill,Turtleneck,<none>
5868,https://img.dapperdinos.com/dinos/M2WybmpkOh58H1V.png,OG,5,5,5,Dapper Cyan,Yellow,Derpy,<none>,Happy Lashes,Cowboy Vest,<none>
5869,https://img.dapperdinos.com/dinos/yEzjGI9uK9BLNi8.png,OG,5,5,7,Elegant Red,Yellow,Toothy Smile Beard,Donut Bonehead,Mask Dead,Crew Neck Pink,Pearls
5870,https://img.dapperdinos.com/dinos/fvcSuvEhKV9VI4H.png,OG,5,5,6,Spiffy Blue,Grey Spotted,Happy,Donut Horns,Popped Dead,Polo Teal,<none>
5871,https://img.dapperdinos.com/dinos/zI3KviIb6WZwf8E.png,OG,5,5,7,Snazzy Orange,Yellow,Grin,Dino Helmet,Hypno,Hoodie Yellow,Nosehorn Gold
5872,https://img.dapperdinos.com/dinos/vISaw6bob4XLgGI.png,OG,5,5,6,Crisp Green,Yellow,Tongue,Bowler Black,Chill,Cyberpunk Jacket,<none>
5873,https://img.dapperdinos.com/dinos/ReHHnlZr17D0pg3.png,OG,5,5,6,Spiffy Blue,Teal,Happy,Mummy,Hypno,Tshirt Camo,<none>
5874,https://img.dapperdinos.com/dinos/yn9taQmsetw3NeR.png,OG,5,5,6,Dapper Cyan,Green,Happy,Jiangshi,Happy Lashes,Turtleneck,<none>
5875,https://img.dapperdinos.com/dinos/UFZUVx6gzl6I8Yb.png,OG,5,5,6,Spiffy Blue,Charcoal Spotted,Happy,Stars,Mask Hearts,Spiked Jacket,<none>
5876,https://img.dapperdinos.com/dinos/fgZlGy0VxL1KA4s.png,OG,5,5,5,Dapper Cyan,Green,Grin,<none>,Happy,Tshirt Stripe,<none>
5877,https://img.dapperdinos.com/dinos/3upcU8IMBZ7DM5z.png,OG,5,5,6,Snazzy Orange,Green,Toothy Smile Beard,High Top Fade Stars,Popped Dots,Tshirt Stripe,<none>
5878,https://img.dapperdinos.com/karmacollective/K172.png,Karma,5,6,8,Bakeroner Yellow 3,Green,Happy,Motorcycle Helmet,Happy,Polo Tiger,Monocle
5879,https://img.dapperdinos.com/dinos/Z32bFlumWoPX2zp.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Fro Sparkle,Happy,Pepe Jacket,<none>
5880,https://img.dapperdinos.com/dinos/QXBeHdlmxN4ggJl.png,OG,5,5,7,Nifty Yellow,Green,Happy,Cap Red Backwards,Bliss Lashes,Astronaut,Sunglasses
5881,https://img.dapperdinos.com/dinos/OUgYKTj8uX7FEav.png,OG,5,5,6,Crisp Green,Green Spotted,Derpy,Motorcycle Helmet,Allergies,Basketball Jersey,<none>
5882,https://img.dapperdinos.com/dinos/e931m6aXRmGcVSu.png,OG,5,5,7,Snazzy Orange,Charcoal,Toothy Smile,Captain,Mask Happy,Hoodie Grey,Sunglasses White
5883,https://img.dapperdinos.com/dinos/fc8Frd9iPBxS6U9.png,OG,5,5,7,Snazzy Orange,Teal Spotted,Tongue,Donut Bonehead,Chill Lashes,Suit Navy,Sunglasses
5884,https://img.dapperdinos.com/dinos/oQqObXIl2oNLnFj.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Two Tooth,Bowler Black Emblem,Happy,Tracksuit Spotted,<none>
5885,https://img.dapperdinos.com/dinos/xTa1EDXQYQwkADH.png,OG,5,5,7,Elegant Red,Green,Derpy,Wizard Hat,Bliss Lashes,Robe,Eyepatch
5886,https://img.dapperdinos.com/dinos/V8tAy8VEhrCdVem.png,OG,5,5,6,Crisp Green,Blue Spotted,Derpy,King,Hearts,Suit Navy,<none>
5887,https://img.dapperdinos.com/dinos/TDN4GlFTxyBp1JU.png,OG,5,5,6,Dapper Cyan,Blue Spotted,Happy,Digger Hat,Happy,Polo Tiger,<none>
5888,https://img.dapperdinos.com/dinos/W3ZU2kPOLLUHsDp.png,OG,5,5,7,Spiffy Blue,Blue,Grin,Tophat,Mask Chill,Crew Neck Pink,Pearls
5889,https://img.dapperdinos.com/karmacollective/hatch/K168.gif,Karma,5,6,8,Hatch 5,Green Spotted,Unimpressed,Horns,Happy,Hoodie Grey,Pipe
5890,https://img.dapperdinos.com/dinos/XXMJ0wjM9siXuUV.png,OG,5,5,6,Spiffy Blue,Green Spotted,Derpy,Cycling Cap Bonehead,Happy Lashes,Pepe Jacket Tshirt,<none>
5891,https://img.dapperdinos.com/dinos/3w3qfAhyZDi3M3f.png,OG,5,5,7,Crisp Green,Grey,Happy,Donut Horns,Mask Dead,Tiedye,Chain
5892,https://img.dapperdinos.com/dinos/1e8Q8odPJjq9XYr.png,OG,5,5,7,Crisp Green,Green Spotted,Happy,Short Hair Brown,Allergies,Spiked Jacket,3D Glasses
5893,https://img.dapperdinos.com/dinos/cmeVw6nUs8OOwfH.png,OG,5,5,5,Spiffy Blue,Teal Spotted,Happy,<none>,Mask Hypno,Pirate,<none>
5894,https://img.dapperdinos.com/dinos/uAcEG5VHt2GGum8.png,OG,5,5,7,Crisp Green,Grey,Unimpressed,Dino Helmet,Mask Chill,Tracksuit Spotted,Wheat
5895,https://img.dapperdinos.com/dinos/PBaeHZ6c8AFpYA7.png,OG,5,5,6,Dapper Cyan,Charcoal,Toothy Smile,Pirate Hat,Happy,Pepe Jacket,<none>
5896,https://img.dapperdinos.com/dinos/gbTQk606bL1HTsC.png,OG,5,5,6,Dapper Cyan,Yellow,Two Tooth,Short Hair Brown,Chill Lashes,Suit Dapper Blue,<none>
5897,https://img.dapperdinos.com/dinos/LnIlptqV4beljeL.png,OG,5,5,7,Fly Magenta,Charcoal Spotted,Tongue,Pirate Hat,Hypno,Grandmas Sweater,Sunglasses
5898,https://img.dapperdinos.com/dinos/i6Dm3SRTLsAy4TY.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Sombrero,Bliss Lashes,Varsity Jacket,<none>
5899,https://img.dapperdinos.com/dinos/LwfbxKGZhotWToI.png,OG,5,5,6,Snazzy Orange,Yellow Spotted,Two Tooth Beard,Grey Hair Sweep,Happy,Suit Dapper Grey,<none>
5900,https://img.dapperdinos.com/dinos/FUp9kgszQ9a6BeN.png,OG,5,5,6,Spiffy Blue,Charcoal Spotted,Tongue,Cycling Cap,Happy,Suit Dapper Grey,<none>
5901,https://img.dapperdinos.com/dinos/1kJ3942wtHHY5ex.png,OG,5,5,7,Nifty Yellow,Teal Spotted,Happy,Donut Bonehead,Chill Lashes,Scarf,Monocle
5902,https://img.dapperdinos.com/dinos/9id6VLHc68UdcfQ.png,OG,5,5,6,Crisp Green,Teal,Happy,Bowler Black,Mask Chill,Ascot,<none>
5903,https://img.dapperdinos.com/dinos/1PyGbyS3UkdkwbW.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Captain,Bliss,Cowboy Vest,<none>
5904,https://img.dapperdinos.com/dinos/pOf6MTBdihNRt84.png,OG,5,5,6,Dapper Cyan,Grey,Two Tooth,Stars,Hearts,Suit Grey,<none>
5905,https://img.dapperdinos.com/dinos/hmsL6eGbpysrno2.png,OG,5,5,5,Dapper Cyan,Green,Happy,<none>,Hypno,Flannel,<none>
5906,https://img.dapperdinos.com/dinos/821mQ9ieEAfJKUz.png,OG,5,5,7,Dashing Purple,Grey Spotted,Derpy,Spikes Diamond,Blush,Scarf,Sunglasses White
5907,https://img.dapperdinos.com/dinos/fXhKjjIn9oFVaWT.png,OG,5,5,6,Dapper Cyan,Grey Spotted,Happy,Fedora,Hypno,Tshirt Camo,<none>
5908,https://img.dapperdinos.com/dinos/nBefC6a8BSHasgX.png,OG,5,5,7,Fly Magenta,Blue Spotted,Grin,High Top Fade Halo,Hypno,Polo Teal,3D Glasses
5909,https://img.dapperdinos.com/dinos/6Nzs6i2nGiwOcqb.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Brain,Chill,Rosies Denim,<none>
5910,https://img.dapperdinos.com/dinos/s7OGRB3QrhZ5Iet.png,OG,5,5,7,Elegant Red,Teal,Toothy Smile,Tophat Bonehead,Allergies,Polo Pink,Sunglasses
